manager_id,company_id,shares
AM001,C001,50065439
AM001,C003,28143032
AM001,C004,5735993
AM001,C005,1201960
AM001,C006,46541943
AM001,C007,12702751
AM001,C008,2440338
AM002,C001,36280034
AM002,C002,6608226
AM002,C003,48680802
AM002,C004,5279131
AM002,C005,4593760
AM002,C006,34839303
AM002,C007,9775543
AM002,C008,30388648
AM003,C001,41721529
AM003,C003,42211398
AM003,C004,15624308
AM003,C005,2264032
AM003,C006,32644371
AM003,C007,12609035
AM003,C008,6592571
AM004,C001,106365964
AM004,C003,145878439
AM004,C004,25546815
AM004,C005,12738213
AM004,C006,70768993
AM004,C007,24973961
AM004,C008,9393676
AM005,C001,72699882
AM005,C002,11131554
AM005,C003,124152254
AM005,C004,38720680
AM005,C005,6765509
AM005,C006,70582604
AM005,C007,21090543
AM005,C008,12627138
AM006,C001,10000000
AM006,C003,915560382
AM007,C001,613380364
AM007,C003,1031407553
AM007,C004,332097759
AM007,C005,50678491
AM007,C006,533634606
AM007,C007,179720414
AM007,C008,161733117
AM008,C001,10774291
AM008,C003,28745971
AM008,C004,14327184
AM008,C005,2535864
AM008,C006,88620338
AM008,C007,9992677
AM008,C008,518581
AM009,C001,302101441
AM009,C003,298321726
AM009,C004,8870546
AM009,C005,5467917
AM009,C006,215874152
AM009,C007,129017848
AM009,C008,176029931
AM010,C001,176207050
AM010,C003,296103070
AM010,C004,86779338
AM010,C005,14567719
AM010,C006,151218886
AM010,C007,48513118
AM010,C008,44309428
AM011,C001,149541280
AM011,C003,206732903
AM011,C004,47374143
AM011,C005,12710406
AM011,C006,123130465
AM011,C007,32704840
AM011,C008,9465522
AM012,C001,92329336
AM012,C002,7711308
AM012,C003,168874976
AM012,C004,46003776
AM012,C005,9200473
AM012,C006,81266403
AM012,C007,26311434
AM012,C008,18270915
AM013,C001,332449318
AM013,C003,569291690
AM013,C004,178570402
AM013,C005,33681164
AM013,C006,288457142
AM013,C007,88686291
AM013,C008,104108802
AM014,C001,85885107
AM014,C003,58554915
AM014,C004,34564037
AM014,C005,12087607
AM014,C006,64911721
AM014,C007,10544759
AM014,C008,16817880
AM015,C001,34949945
AM015,C003,60334422
AM015,C004,10594227
AM015,C005,8002862
AM015,C006,35862559
AM015,C007,5084980
AM015,C008,1154308
